age,workclass,education,marital,occupation,gender,income
<25,Private,Bachelors,Single,Other-service,Female,<=50K
<25,Private,Bachelors,Single,Exec-managerial,Male,<=50K
<25,Private,Associate/Prof,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Sales,Female,<=50K
40-55,Private,High-School diploma,Single,Exec-managerial,Female,<=50K
<25,Private,Bachelors,Single,Other-service,Female,<=50K
56-67,Private,Bachelors,Married,Exec-managerial,Male,>50K
>67,Private,Bachelors,Married,Prof-specialty,Male,>50K
<25,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
25-39,Private,Bachelors,Married,Transport-moving,Male,>50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,X,Married,Farming-fishing,Male,<=50K
40-55,Private,High-School diploma,Married,Handlers-cleaners,Male,>50K
25-39,GOV,Bachelors,Married,Protective-serv,Male,>50K
25-39,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,Private,High-School diploma,Single,Exec-managerial,Female,>50K
40-55,Private,Bachelors,Single,Adm-clerical,Female,<=50K
56-67,Private,Associate/Prof,Married,Prof-specialty,Male,>50K
<25,Private,Bachelors,Single,Exec-managerial,Male,<=50K
25-39,Private,High-School diploma,Married,Machine-op-inspct,Male,<=50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
40-55,Private,Associate/Prof,Married,Handlers-cleaners,Male,<=50K
56-67,Private,High-School diploma,Married,Other-service,Male,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
56-67,Private,High-School diploma,Married,Transport-moving,Male,>50K
25-39,GOV,Bachelors,Single,Prof-specialty,Male,<=50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,<=50K
40-55,Private,X,Married,Craft-repair,Male,>50K
40-55,GOV,Bachelors,Married,Prof-specialty,Male,>50K
>67,SELF,Bachelors,Married,Exec-managerial,Male,<=50K
25-39,Private,Bachelors,Married,Machine-op-inspct,Male,>50K
56-67,Private,Bachelors,Single,Adm-clerical,Female,<=50K
40-55,Private,Bachelors,Single,Sales,Female,<=50K
25-39,SELF,High-School diploma,Married,Farming-fishing,Male,>50K
25-39,GOV,Bachelors,Married,Protective-serv,Male,>50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,Private,Associate/Prof,Married,Prof-specialty,Male,<=50K
40-55,Private,Bachelors,Married,Adm-clerical,Male,>50K
<25,Private,High-School diploma,Single,Machine-op-inspct,Male,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,X,Single,Machine-op-inspct,Male,<=50K
56-67,GOV,High-School diploma,Married,Adm-clerical,Male,<=50K
<25,Private,High-School diploma,Married,Other-service,Female,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
40-55,SELF,Bachelors,Married,Prof-specialty,Male,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Male,>50K
40-55,Private,Bachelors,Single,Sales,Male,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Married,Machine-op-inspct,Male,>50K
25-39,Private,Bachelors,Single,Adm-clerical,Male,<=50K
25-39,Private,X,Single,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Married,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Married,Sales,Male,>50K
25-39,Private,X,Married,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
25-39,SELF,Bachelors,Married,Exec-managerial,Male,>50K
<25,GOV,High-School diploma,Single,Other-service,Male,<=50K
<25,Private,High-School diploma,Single,Machine-op-inspct,Male,<=50K
40-55,Private,Associate/Prof,Married,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,Private,High-School diploma,Married,Transport-moving,Male,<=50K
56-67,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
40-55,Private,Masters,Married,Exec-managerial,Male,>50K
<25,Private,Associate/Prof,Single,Prof-specialty,Female,<=50K
56-67,Private,X,Married,Other-service,Female,<=50K
25-39,Private,Bachelors,Married,Transport-moving,Male,>50K
40-55,Private,Bachelors,Married,Adm-clerical,Female,>50K
56-67,Private,Bachelors,Married,Exec-managerial,Male,>50K
56-67,GOV,High-School diploma,Married,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,SELF,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,GOV,Masters,Married,Prof-specialty,Male,>50K
25-39,Private,High-School diploma,Married,Other-service,Male,>50K
25-39,Private,Bachelors,Married,Other-service,Female,<=50K
<25,Private,Bachelors,Single,Sales,Male,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,>50K
40-55,Private,Bachelors,Married,Sales,Male,>50K
40-55,Private,Masters,Married,Exec-managerial,Male,>50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
40-55,Private,Bachelors,Married,Sales,Male,>50K
25-39,Private,Associate/Prof,Single,Other-service,Male,<=50K
25-39,SELF,Bachelors,Married,Craft-repair,Male,<=50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Single,Exec-managerial,Female,<=50K
40-55,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Married,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Married,Exec-managerial,Male,>50K
25-39,Private,Bachelors,Married,Machine-op-inspct,Male,>50K
25-39,Private,Bachelors,Married,Machine-op-inspct,Male,<=50K
40-55,GOV,Bachelors,Single,Protective-serv,Male,<=50K
<25,Private,High-School diploma,Single,Other-service,Male,<=50K
40-55,Private,Bachelors,Single,Other-service,Female,<=50K
40-55,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Single,Craft-repair,Male,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,Bachelors,Single,Other-service,Female,<=50K
25-39,Private,Bachelors,Single,Exec-managerial,Male,<=50K
25-39,Private,High-School diploma,Married,Exec-managerial,Male,>50K
40-55,Private,Bachelors,Married,Machine-op-inspct,Male,<=50K
>67,SELF,High-School diploma,Married,Sales,Male,<=50K
25-39,Private,Bachelors,Married,Sales,Female,>50K
40-55,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Single,Other-service,Male,<=50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Female,<=50K
25-39,GOV,High-School diploma,Married,Transport-moving,Male,<=50K
40-55,SELF,Bachelors,Married,Exec-managerial,Male,<=50K
25-39,Private,Bachelors,Single,Tech-support,Female,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,Associate/Prof,Married,Tech-support,Male,<=50K
40-55,Private,Masters,Single,Prof-specialty,Male,>50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
40-55,SELF,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,SELF,Bachelors,Married,Craft-repair,Male,>50K
25-39,Private,High-School diploma,Married,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Single,Exec-managerial,Male,<=50K
25-39,Private,High-School diploma,Married,Exec-managerial,Female,>50K
40-55,SELF,Associate/Prof,Married,Prof-specialty,Male,>50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,>50K
25-39,Private,High-School diploma,Single,Handlers-cleaners,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Female,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Other-service,Female,<=50K
<25,Private,X,Single,Other-service,Male,<=50K
40-55,SELF,Bachelors,Married,Sales,Male,<=50K
25-39,Private,Bachelors,Married,Tech-support,Male,>50K
<25,Private,Associate/Prof,Single,Prof-specialty,Male,<=50K
<25,Private,Bachelors,Single,Exec-managerial,Male,<=50K
<25,Private,High-School diploma,Single,Transport-moving,Male,<=50K
40-55,Private,Masters,Married,Exec-managerial,Male,>50K
<25,GOV,High-School diploma,Single,Other-service,Male,<=50K
56-67,Private,Associate/Prof,Single,Prof-specialty,Female,<=50K
40-55,Private,High-School diploma,Married,Adm-clerical,Female,>50K
25-39,Private,Bachelors,Single,Handlers-cleaners,Male,<=50K
56-67,SELF,High-School diploma,Married,Craft-repair,Male,<=50K
56-67,SELF,Bachelors,Single,Sales,Female,<=50K
<25,Private,X,Single,Other-service,Male,<=50K
56-67,Private,High-School diploma,Single,Transport-moving,Male,<=50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,SELF,Bachelors,Single,Craft-repair,Male,<=50K
25-39,Private,High-School diploma,Single,Machine-op-inspct,Female,<=50K
25-39,Private,Masters,Married,Exec-managerial,Male,>50K
25-39,Private,Associate/Prof,Single,Machine-op-inspct,Male,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,>50K
25-39,Private,Bachelors,Married,Tech-support,Female,<=50K
40-55,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Single,Prof-specialty,Male,>50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Farming-fishing,Male,<=50K
40-55,Private,Bachelors,Single,Other-service,Female,>50K
25-39,SELF,High-School diploma,Single,Other-service,Male,<=50K
25-39,Private,Associate/Prof,Married,Craft-repair,Male,<=50K
56-67,Private,Bachelors,Single,Exec-managerial,Female,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Single,Other-service,Female,<=50K
40-55,Private,High-School diploma,Single,Machine-op-inspct,Male,<=50K
25-39,Private,Bachelors,Married,Exec-managerial,Male,<=50K
40-55,Private,Bachelors,Single,Exec-managerial,Female,>50K
<25,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Female,>50K
25-39,Private,Bachelors,Married,Prof-specialty,Male,<=50K
40-55,Private,High-School diploma,Single,Tech-support,Female,<=50K
40-55,SELF,Associate/Prof,Married,Exec-managerial,Male,<=50K
56-67,Private,High-School diploma,Married,Other-service,Male,<=50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Single,Sales,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Female,<=50K
40-55,Private,Associate/Prof,Married,Prof-specialty,Female,>50K
<25,Private,High-School diploma,Single,Other-service,Female,<=50K
56-67,GOV,Bachelors,Married,Prof-specialty,Male,<=50K
25-39,Private,Associate/Prof,Married,Prof-specialty,Male,<=50K
40-55,Private,X,Married,Handlers-cleaners,Male,<=50K
25-39,Private,Bachelors,Married,Transport-moving,Male,<=50K
<25,SELF,Bachelors,Single,Sales,Female,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Sales,Female,<=50K
40-55,SELF,X,Married,Exec-managerial,Male,<=50K
40-55,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Married,Exec-managerial,Female,<=50K
40-55,Private,High-School diploma,Married,Farming-fishing,Male,<=50K
>67,SELF,High-School diploma,Married,Sales,Male,<=50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Other-service,Male,<=50K
40-55,GOV,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Single,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Single,Craft-repair,Male,<=50K
40-55,Private,Bachelors,Married,Prof-specialty,Male,>50K
40-55,SELF,Masters,Single,Exec-managerial,Female,<=50K
56-67,Private,X,Married,Handlers-cleaners,Male,<=50K
<25,Private,High-School diploma,Single,Other-service,Male,<=50K
<25,Private,Bachelors,Single,Other-service,Male,<=50K
40-55,GOV,Bachelors,Married,Prof-specialty,Male,>50K
25-39,SELF,High-School diploma,Single,Farming-fishing,Male,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Male,<=50K
<25,Private,Bachelors,Single,Other-service,Female,<=50K
25-39,Private,Bachelors,Married,Prof-specialty,Male,>50K
<25,Private,Bachelors,Married,Sales,Male,<=50K
25-39,GOV,Doctorate,Married,Prof-specialty,Male,<=50K
40-55,GOV,Bachelors,Married,Prof-specialty,Female,<=50K
56-67,Private,Bachelors,Married,Exec-managerial,Male,<=50K
56-67,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
40-55,Private,Masters,Married,Prof-specialty,Male,>50K
40-55,Private,Associate/Prof,Single,Exec-managerial,Female,<=50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,>50K
40-55,Private,Associate/Prof,Single,Prof-specialty,Male,<=50K
25-39,SELF,High-School diploma,Married,Craft-repair,Male,>50K
25-39,Private,Bachelors,Married,Sales,Male,<=50K
<25,Private,X,Single,Sales,Female,<=50K
40-55,Private,Masters,Single,Prof-specialty,Female,<=50K
<25,SELF,High-School diploma,Single,Farming-fishing,Male,<=50K
25-39,SELF,Associate/Prof,Married,Farming-fishing,Male,<=50K
<25,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,Private,High-School diploma,Single,Handlers-cleaners,Female,<=50K
40-55,Private,Masters,Single,Prof-specialty,Female,<=50K
40-55,SELF,Associate/Prof,Married,Prof-specialty,Male,>50K
25-39,GOV,Bachelors,Married,Craft-repair,Male,<=50K
40-55,Private,High-School diploma,Married,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Married,Other-service,Female,<=50K
25-39,Private,Bachelors,Single,Prof-specialty,Male,<=50K
<25,Private,Bachelors,Single,Sales,Male,<=50K
40-55,SELF,Associate/Prof,Married,Prof-specialty,Male,>50K
25-39,Private,Associate/Prof,Married,Craft-repair,Male,<=50K
25-39,Private,High-School diploma,Single,Prof-specialty,Male,<=50K
<25,Private,Bachelors,Single,Sales,Male,<=50K
25-39,Private,Masters,Single,Prof-specialty,Male,>50K
25-39,Private,Associate/Prof,Single,Prof-specialty,Female,<=50K
56-67,Private,Bachelors,Married,Tech-support,Male,>50K
25-39,Private,High-School diploma,Married,Exec-managerial,Male,<=50K
25-39,Private,Bachelors,Single,Other-service,Female,<=50K
40-55,Private,High-School diploma,Married,Handlers-cleaners,Male,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
40-55,Private,Bachelors,Single,Craft-repair,Female,<=50K
25-39,SELF,High-School diploma,Married,Farming-fishing,Male,<=50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
56-67,SELF,X,Married,Farming-fishing,Male,<=50K
<25,Private,X,Married,Other-service,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Female,<=50K
56-67,GOV,Bachelors,Single,Exec-managerial,Female,<=50K
40-55,SELF,High-School diploma,Married,Sales,Male,<=50K
25-39,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
<25,Private,High-School diploma,Single,Handlers-cleaners,Male,<=50K
40-55,GOV,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Male,<=50K
40-55,Private,Bachelors,Married,Handlers-cleaners,Male,>50K
<25,Private,Associate/Prof,Single,Adm-clerical,Female,<=50K
40-55,Private,High-School diploma,Married,Other-service,Male,<=50K
25-39,Private,Associate/Prof,Single,Sales,Male,<=50K
25-39,Private,Masters,Married,Exec-managerial,Male,>50K
56-67,Private,X,Married,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Single,Adm-clerical,Female,<=50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
25-39,Private,Bachelors,Married,Prof-specialty,Male,<=50K
25-39,Private,Bachelors,Married,Exec-managerial,Male,<=50K
<25,Private,X,Single,Sales,Female,<=50K
<25,SELF,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,X,Single,Farming-fishing,Male,<=50K
25-39,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Female,<=50K
40-55,SELF,Bachelors,Married,Exec-managerial,Male,<=50K
<25,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,SELF,Bachelors,Married,Exec-managerial,Male,<=50K
25-39,Private,Masters,Single,Prof-specialty,Female,<=50K
40-55,Private,Bachelors,Married,Exec-managerial,Male,>50K
40-55,GOV,High-School diploma,Married,Adm-clerical,Female,>50K
25-39,Private,Masters,Single,Exec-managerial,Male,>50K
40-55,GOV,Bachelors,Single,Prof-specialty,Male,<=50K
40-55,Private,Bachelors,Married,Tech-support,Male,>50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,GOV,High-School diploma,Married,Exec-managerial,Male,>50K
40-55,Private,X,Married,Craft-repair,Male,<=50K
<25,Private,High-School diploma,Married,Sales,Female,<=50K
25-39,Private,High-School diploma,Married,Exec-managerial,Male,<=50K
40-55,Private,Associate/Prof,Married,Prof-specialty,Male,>50K
25-39,Private,Associate/Prof,Married,Craft-repair,Male,>50K
<25,GOV,Bachelors,Single,Handlers-cleaners,Male,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Female,<=50K
40-55,SELF,Associate/Prof,Married,Prof-specialty,Male,>50K
40-55,SELF,Doctorate,Single,Prof-specialty,Male,>50K
25-39,GOV,Bachelors,Married,Protective-serv,Male,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,GOV,High-School diploma,Married,Other-service,Female,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Female,<=50K
<25,Private,X,Single,Machine-op-inspct,Male,<=50K
25-39,GOV,Associate/Prof,Married,Protective-serv,Male,>50K
25-39,Private,Bachelors,Married,Sales,Male,>50K
>67,SELF,High-School diploma,Married,Sales,Male,<=50K
56-67,SELF,Bachelors,Married,Sales,Male,<=50K
40-55,Private,Bachelors,Married,Craft-repair,Male,>50K
25-39,Private,X,Married,Other-service,Female,<=50K
25-39,Private,Bachelors,Single,Sales,Male,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Male,>50K
25-39,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,Private,Bachelors,Married,Sales,Male,>50K
40-55,Private,High-School diploma,Married,Craft-repair,Male,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
40-55,SELF,Bachelors,Married,Prof-specialty,Male,<=50K
56-67,Private,Bachelors,Married,Exec-managerial,Male,>50K
<25,Private,X,Single,Machine-op-inspct,Male,<=50K
25-39,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
56-67,GOV,Doctorate,Married,Prof-specialty,Male,>50K
56-67,Private,High-School diploma,Single,Tech-support,Female,<=50K
40-55,Private,High-School diploma,Single,Sales,Male,<=50K
40-55,GOV,Bachelors,Married,Protective-serv,Male,>50K
56-67,SELF,High-School diploma,Married,Sales,Male,>50K
25-39,SELF,High-School diploma,Single,Other-service,Male,<=50K
25-39,Private,Associate/Prof,Single,Adm-clerical,Female,<=50K
40-55,Private,High-School diploma,Single,Other-service,Male,<=50K
40-55,SELF,Bachelors,Married,Prof-specialty,Male,<=50K
25-39,GOV,High-School diploma,Single,Adm-clerical,Female,<=50K
40-55,Private,High-School diploma,Married,Transport-moving,Male,<=50K
56-67,Private,High-School diploma,Married,Exec-managerial,Male,<=50K
25-39,Private,Associate/Prof,Single,Sales,Male,<=50K
40-55,SELF,Bachelors,Married,Craft-repair,Male,>50K
25-39,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,Private,High-School diploma,Married,Transport-moving,Male,<=50K
40-55,GOV,Masters,Married,Prof-specialty,Male,>50K
40-55,Private,X,Married,Farming-fishing,Male,<=50K
25-39,Private,Bachelors,Married,Handlers-cleaners,Male,<=50K
25-39,SELF,X,Single,Craft-repair,Male,<=50K
40-55,SELF,Bachelors,Married,Prof-specialty,Female,>50K
25-39,GOV,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,X,Single,Other-service,Male,<=50K
40-55,Private,High-School diploma,Single,Other-service,Female,<=50K
25-39,Private,Bachelors,Married,Prof-specialty,Male,>50K
25-39,GOV,Associate/Prof,Single,Exec-managerial,Female,<=50K
<25,GOV,High-School diploma,Single,Adm-clerical,Male,<=50K
56-67,Private,X,Married,Transport-moving,Male,<=50K
40-55,Private,High-School diploma,Married,Transport-moving,Male,<=50K
25-39,Private,Associate/Prof,Married,Other-service,Female,<=50K
<25,Private,X,Single,Handlers-cleaners,Male,<=50K
40-55,GOV,Masters,Single,Prof-specialty,Female,<=50K
56-67,Private,High-School diploma,Married,Prof-specialty,Male,<=50K
25-39,SELF,Bachelors,Married,Sales,Male,>50K
40-55,GOV,Associate/Prof,Single,Prof-specialty,Female,<=50K
<25,Private,Bachelors,Single,Craft-repair,Male,<=50K
<25,Private,X,Single,Craft-repair,Male,<=50K
40-55,SELF,Bachelors,Married,Sales,Male,>50K
40-55,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,Private,Bachelors,Married,Tech-support,Male,<=50K
25-39,Private,High-School diploma,Married,Sales,Male,<=50K
25-39,Private,Masters,Married,Exec-managerial,Male,>50K
<25,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
40-55,SELF,Bachelors,Single,Exec-managerial,Male,<=50K
40-55,Private,Bachelors,Single,Craft-repair,Male,<=50K
40-55,SELF,Bachelors,Married,Craft-repair,Male,>50K
25-39,Private,Bachelors,Single,Prof-specialty,Male,<=50K
25-39,Private,Bachelors,Single,Tech-support,Female,<=50K
25-39,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,GOV,Bachelors,Married,Adm-clerical,Male,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
40-55,SELF,Bachelors,Single,Sales,Male,<=50K
25-39,Private,High-School diploma,Married,Exec-managerial,Male,>50K
40-55,Private,X,Single,Machine-op-inspct,Female,<=50K
40-55,Private,Masters,Married,Tech-support,Male,>50K
<25,Private,Bachelors,Married,Machine-op-inspct,Male,<=50K
<25,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,SELF,High-School diploma,Married,Exec-managerial,Male,<=50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Male,>50K
40-55,Private,High-School diploma,Married,Transport-moving,Male,<=50K
<25,Private,Bachelors,Single,Other-service,Female,<=50K
25-39,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,Masters,Single,Exec-managerial,Female,<=50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,GOV,Bachelors,Married,Prof-specialty,Male,<=50K
40-55,Private,Associate/Prof,Married,Other-service,Male,<=50K
40-55,SELF,Associate/Prof,Married,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Married,Sales,Male,<=50K
<25,Private,High-School diploma,Single,Handlers-cleaners,Male,<=50K
40-55,GOV,Bachelors,Single,Adm-clerical,Male,>50K
40-55,Private,Masters,Married,Prof-specialty,Male,>50K
40-55,SELF,X,Married,Exec-managerial,Male,>50K
25-39,Private,Bachelors,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Other-service,Male,<=50K
25-39,Private,Masters,Married,Prof-specialty,Female,>50K
25-39,Private,High-School diploma,Single,Tech-support,Male,<=50K
25-39,Private,High-School diploma,Single,Craft-repair,Male,<=50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Female,<=50K
25-39,SELF,Bachelors,Single,Prof-specialty,Male,>50K
40-55,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
<25,Private,High-School diploma,Single,Adm-clerical,Male,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,>50K
25-39,Private,Masters,Married,Exec-managerial,Male,>50K
<25,Private,Bachelors,Single,Sales,Female,<=50K
40-55,Private,High-School diploma,Single,Craft-repair,Male,<=50K
<25,Private,High-School diploma,Married,Handlers-cleaners,Male,<=50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,>50K
25-39,SELF,Bachelors,Single,Exec-managerial,Male,<=50K
40-55,GOV,Bachelors,Single,Prof-specialty,Female,<=50K
25-39,SELF,Bachelors,Married,Exec-managerial,Male,>50K
25-39,Private,High-School diploma,Single,Exec-managerial,Male,<=50K
40-55,Private,Bachelors,Single,Exec-managerial,Male,<=50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Male,>50K
25-39,Private,Bachelors,Single,Prof-specialty,Male,<=50K
25-39,Private,Bachelors,Single,Other-service,Male,<=50K
25-39,GOV,Masters,Married,Prof-specialty,Male,<=50K
25-39,Private,High-School diploma,Single,Machine-op-inspct,Male,<=50K
25-39,Private,Associate/Prof,Married,Prof-specialty,Male,<=50K
40-55,Private,High-School diploma,Married,Adm-clerical,Female,>50K
25-39,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
40-55,Private,Bachelors,Married,Craft-repair,Male,>50K
40-55,Private,High-School diploma,Single,Other-service,Male,<=50K
<25,Private,High-School diploma,Married,Handlers-cleaners,Male,<=50K
<25,Private,High-School diploma,Married,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Married,Adm-clerical,Male,<=50K
<25,GOV,X,Single,Prof-specialty,Female,<=50K
25-39,Private,Masters,Married,Prof-specialty,Male,>50K
<25,Private,X,Single,Machine-op-inspct,Male,<=50K
56-67,Private,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,Associate/Prof,Married,Machine-op-inspct,Male,<=50K
<25,GOV,High-School diploma,Single,Adm-clerical,Female,<=50K
25-39,Private,High-School diploma,Single,Transport-moving,Male,<=50K
40-55,Private,X,Married,Farming-fishing,Male,<=50K
40-55,Private,Doctorate,Married,Prof-specialty,Male,>50K
40-55,GOV,High-School diploma,Single,Other-service,Female,<=50K
<25,Private,High-School diploma,Single,Other-service,Male,<=50K
25-39,Private,Bachelors,Single,Prof-specialty,Male,<=50K
25-39,Private,Bachelors,Single,Prof-specialty,Female,<=50K
40-55,Private,X,Married,Craft-repair,Male,<=50K
40-55,SELF,Bachelors,Single,Exec-managerial,Female,<=50K
>67,Private,X,Married,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Married,Transport-moving,Male,<=50K
25-39,Private,High-School diploma,Single,Exec-managerial,Female,<=50K
<25,Private,X,Single,Sales,Male,<=50K
<25,Private,High-School diploma,Single,Machine-op-inspct,Female,<=50K
40-55,SELF,High-School diploma,Single,Exec-managerial,Male,<=50K
56-67,Private,High-School diploma,Single,Transport-moving,Male,<=50K
25-39,Private,Bachelors,Single,Adm-clerical,Female,<=50K
25-39,GOV,Bachelors,Single,Adm-clerical,Male,<=50K
40-55,Private,High-School diploma,Married,Machine-op-inspct,Female,>50K
25-39,Private,Bachelors,Married,Craft-repair,Male,<=50K
40-55,Private,Bachelors,Married,Prof-specialty,Male,>50K
56-67,Private,X,Married,Machine-op-inspct,Male,<=50K
40-55,SELF,Bachelors,Married,Prof-specialty,Male,>50K
40-55,Private,X,Single,Craft-repair,Male,<=50K
25-39,Private,Bachelors,Single,Exec-managerial,Male,<=50K
<25,Private,Bachelors,Married,Sales,Female,<=50K
<25,Private,X,Married,Handlers-cleaners,Male,<=50K
<25,Private,High-School diploma,Single,Other-service,Female,<=50K
56-67,Private,High-School diploma,Single,Machine-op-inspct,Female,<=50K
56-67,SELF,X,Married,Farming-fishing,Male,<=50K
<25,Private,Bachelors,Single,Other-service,Female,<=50K
